generated_at,source_reviewed_at,group_key,incentive_types,category,markets,total_reward,avg_reward,avg_target,earliest_end,hours_left,competition_proxy,manual_review_score,required_action,exposure_risk,automation_mode,sample_tickers
2026-08-05T04:27:53.003248+00:00,2026-08-05T04:27:53.003233+00:00,KXMAMDANIEO-26AUG08,liquidity,other,1,1000.0000,1000.0000,300.00,2026-08-09T13:59:00+00:00,105.52,High bounty,94.0,"Post qualifying resting limit orders during the active window; score depends on size, uptime, and distance from best bid/ask.","Unfilled orders may score, but fills create inventory. Target is about 300 contracts per market; worst-case contract exposure can approach $1 per filled contract before offsetting exits.",Read-only discovery and paper scoring only; live orders require human approval.,KXMAMDANIEO-26AUG08-T0
2026-08-05T04:27:53.003248+00:00,2026-08-05T04:27:53.003233+00:00,KXEOWEEK-26JUL25,liquidity,macro/markets,1,333.3333,333.3333,300.00,2026-08-08T14:00:00+00:00,81.54,Medium,74.7,"Post qualifying resting limit orders during the active window; score depends on size, uptime, and distance from best bid/ask.","Unfilled orders may score, but fills create inventory. Target is about 300 contracts per market; worst-case contract exposure can approach $1 per filled contract before offsetting exits.",Read-only discovery and paper scoring only; live orders require human approval.,KXEOWEEK-26JUL25-2
2026-08-05T04:27:53.003248+00:00,2026-08-05T04:27:53.003233+00:00,KXEOWEEK-26AUG08,liquidity,macro/markets,3,999.9999,333.3333,300.00,2026-08-22T14:00:00+00:00,417.54,Medium,68.7,"Post qualifying resting limit orders during the active window; score depends on size, uptime, and distance from best bid/ask.","Unfilled orders may score, but fills create inventory. Target is about 300 contracts per market; worst-case contract exposure can approach $1 per filled contract before offsetting exits.",Read-only discovery and paper scoring only; live orders require human approval.,"KXEOWEEK-26AUG08-0,KXEOWEEK-26AUG08-1,KXEOWEEK-26AUG08-2"
2026-08-05T04:27:53.003248+00:00,2026-08-05T04:27:53.003233+00:00,KXEOWEEK-26AUG01,liquidity,macro/markets,3,999.9999,333.3333,300.00,2026-08-15T14:00:00+00:00,249.54,Medium,68.7,"Post qualifying resting limit orders during the active window; score depends on size, uptime, and distance from best bid/ask.","Unfilled orders may score, but fills create inventory. Target is about 300 contracts per market; worst-case contract exposure can approach $1 per filled contract before offsetting exits.",Read-only discovery and paper scoring only; live orders require human approval.,"KXEOWEEK-26AUG01-0,KXEOWEEK-26AUG01-1,KXEOWEEK-26AUG01-2"
2026-08-05T04:27:53.003248+00:00,2026-08-05T04:27:53.003233+00:00,KXTRUMPENDORSEMENTS-26AUG07,liquidity,politics/policy,7,999.9997,142.8571,300.00,2026-08-08T14:00:00+00:00,81.54,Medium-Low,62.0,"Post qualifying resting limit orders during the active window; score depends on size, uptime, and distance from best bid/ask.","Unfilled orders may score, but fills create inventory. Target is about 300 contracts per market; worst-case contract exposure can approach $1 per filled contract before offsetting exits.",Read-only discovery and paper scoring only; live orders require human approval.,"KXTRUMPENDORSEMENTS-26AUG07-A10,KXTRUMPENDORSEMENTS-26AUG07-A15,KXTRUMPENDORSEMENTS-26AUG07-A20,KXTRUMPENDORSEMENTS-26AUG07-A25,KXTRUMPENDORSEMENTS-26AUG07-A3"
2026-08-05T04:27:53.003248+00:00,2026-08-05T04:27:53.003233+00:00,KXSENATEMND-26,liquidity,politics/policy,2,1000.0000,500.0000,1000.00,2026-08-12T03:59:00+00:00,167.52,Medium-High,61.5,"Post qualifying resting limit orders during the active window; score depends on size, uptime, and distance from best bid/ask.","Unfilled orders may score, but fills create inventory. Target is about 1000 contracts per market; worst-case contract exposure can approach $1 per filled contract before offsetting exits.",Read-only discovery and paper scoring only; live orders require human approval.,"KXSENATEMND-26-ACRA,KXSENATEMND-26-PFLA"
2026-08-05T04:27:53.003248+00:00,2026-08-05T04:27:53.003233+00:00,KXTRUMPACT-26AUG02,liquidity,politics/policy,10,1000.0000,100.0000,300.00,2026-08-09T14:00:00+00:00,105.54,Medium-Low,60.5,"Post qualifying resting limit orders during the active window; score depends on size, uptime, and distance from best bid/ask.","Unfilled orders may score, but fills create inventory. Target is about 300 contracts per market; worst-case contract exposure can approach $1 per filled contract before offsetting exits.",Read-only discovery and paper scoring only; live orders require human approval.,"KXTRUMPACT-26AUG02-T1,KXTRUMPACT-26AUG02-T10,KXTRUMPACT-26AUG02-T15,KXTRUMPACT-26AUG02-T2,KXTRUMPACT-26AUG02-T3"
2026-08-05T04:27:53.003248+00:00,2026-08-05T04:27:53.003233+00:00,KXAPRPOTUS-26AUG07,liquidity,other,8,1000.0000,125.0000,300.00,2026-08-07T15:00:00+00:00,58.54,Medium-Low,60.4,"Post qualifying resting limit orders during the active window; score depends on size, uptime, and distance from best bid/ask.","Unfilled orders may score, but fills create inventory. Target is about 300 contracts per market; worst-case contract exposure can approach $1 per filled contract before offsetting exits.",Read-only discovery and paper scoring only; live orders require human approval.,"KXAPRPOTUS-26AUG07-39.2,KXAPRPOTUS-26AUG07-39.3,KXAPRPOTUS-26AUG07-39.6,KXAPRPOTUS-26AUG07-39.9,KXAPRPOTUS-26AUG07-40.2"
2026-08-05T04:27:53.003248+00:00,2026-08-05T04:27:53.003233+00:00,KXTRUTHSOCIAL-26AUG08,liquidity,other,10,1000.0000,100.0000,300.00,2026-08-09T13:59:00+00:00,105.52,Medium-Low,59.5,"Post qualifying resting limit orders during the active window; score depends on size, uptime, and distance from best bid/ask.","Unfilled orders may score, but fills create inventory. Target is about 300 contracts per market; worst-case contract exposure can approach $1 per filled contract before offsetting exits.",Read-only discovery and paper scoring only; live orders require human approval.,"KXTRUTHSOCIAL-26AUG08-B109,KXTRUTHSOCIAL-26AUG08-B129,KXTRUTHSOCIAL-26AUG08-B149,KXTRUTHSOCIAL-26AUG08-B169,KXTRUTHSOCIAL-26AUG08-B189"
2026-08-05T04:27:53.003248+00:00,2026-08-05T04:27:53.003233+00:00,KXPOKEMON-26AUG151ULTCO,liquidity,other,1,345.0000,345.0000,1000.00,2026-08-09T03:59:59.999999+00:00,95.54,Medium-High,55.1,"Post qualifying resting limit orders during the active window; score depends on size, uptime, and distance from best bid/ask.","Unfilled orders may score, but fills create inventory. Target is about 1000 contracts per market; worst-case contract exposure can approach $1 per filled contract before offsetting exits.",Read-only discovery and paper scoring only; live orders require human approval.,KXPOKEMON-26AUG151ULTCO-939.85
