source_reviewed_at,platform,program,category,reward_type,source_status,safe_automation_score,required_work,reward_timing,competition,capital_intensity,monitorability,execution_risk,automation_mode,can_codex_capture,why_not_autonomous,safe_next_action,official_urls
2026-08-05,Merkl,Live DeFi Campaigns,defi_incentive_aggregator,lp_lending_airdrop_points,primary_verified,73,"Participate in eligible DeFi campaigns such as concentrated liquidity, lending/borrowing, token holding, airdrops, or points programs.",Rewards are computed periodically and become claimable after Merkle-root updates and dispute windows.,Varies by campaign; APRs decay as capital enters.,low,public_api,high,monitor_rank_and_manual_wallet_ticket,No,"Capturing requires wallet signatures and onchain LP, lending, borrowing, holding, or claim transactions.","Build a campaign monitor for APR, TVL, chain, required action, gas, and smart-contract risk.",https://docs.merkl.xyz/merkl-mechanisms/incentive-mechanisms https://merkl.xyz/chain-wide-incentives https://app.merkl.xyz/
2026-08-05,Kalshi,Liquidity Incentive Program,prediction_market,liquidity_pool,primary_verified,67,"Eligible members post qualifying resting limit orders. Random snapshots score order size, uptime, and proximity to the best bid/ask; pools are split pro rata.",Daily program pools; minimum payout disclosed as $1.,"High in large pools, medium in smaller target-size markets.",medium,public_api,high,monitor_and_approval_ticket,No,Capturing requires live resting orders that can fill and create regulated-market inventory risk.,"Keep the existing Kalshi public API monitor, rank pools, and draft manual order tickets.",https://help.kalshi.com/en/articles/13823851-liquidity-incentive-program https://external-api.kalshi.com/trade-api/v2/incentive_programs
2026-08-05,Polymarket,Global Liquidity Rewards,prediction_market,liquidity_pool,primary_verified,67,"Post resting limit orders on reward-enabled markets. Score depends on two-sided depth, spread, size, and proximity to the adjusted midpoint.",Daily distribution at midnight UTC; minimum payout disclosed as $1.,High in liquid events; lower in niche markets but with worse adverse-selection risk.,medium,public_api,high,monitor_and_paper_score,No,"Requires live CLOB orders, possible fills, wallet/account access, and geographic eligibility checks.",Use public market fields to rank reward density and simulate quote profitability before manual review.,https://docs.polymarket.com/market-makers/liquidity-rewards
2026-08-05,Polymarket,Maker Rebates,prediction_market,maker_rebate,primary_verified,67,Place maker orders that add liquidity and later fill on markets with fees enabled.,Paid daily in pUSD when accrued rebate is at least $1.,Medium-high; depends on category fee rates and fill quality.,medium,public_api,high,monitor_and_paper_score,No,Maker rebates require live filled orders and position risk.,Estimate rebate minus adverse-selection loss from public market data.,https://docs.polymarket.com/market-makers/maker-rebates
2026-08-05,Robinhood,High-Yield Cash Program,investment_broker,cash_sweep_interest,primary_verified,66,"Hold eligible settled cash and meet program requirements, including Robinhood Gold where applicable.",Monthly interest; APY changes over time.,No pool competition.,low,public_docs,low,rate_watch_and_manual_ticket,No,Requires account/subscription and cash allocation decisions.,Monitor APY versus Treasury money-market alternatives before manual allocation.,https://robinhood.com/us/en/support/articles/cash-program-interest-rate/
2026-08-05,Robinhood,Stock Lending,investment_broker,securities_lending_income,primary_verified,58,Enable Stock Lending if eligible; Robinhood may borrow eligible whole fully paid shares.,Monthly payment when borrowed shares generate at least one cent of monthly rebate.,Demand-driven rather than pool competition.,low,public_docs,medium,manual_account_setting_ticket,No,Requires account setting changes and acceptance of share-lending risks.,"If you use Robinhood, inspect eligibility and expected holdings before manually enabling.",https://robinhood.com/us/en/support/articles/stock-lending/
2026-08-05,Kalshi,Volume Incentive Program,prediction_market,volume_pool,primary_verified,56,"Execute eligible trades in eligible markets during active windows. Reward share is based on eligible volume, with trades generally needing prices above $0.03 and below $0.97.",Program-specific; capped by Kalshi rules including a max reward per contract.,High because volume programs favor active traders with lower friction and hedging.,medium,public_docs,high,monitor_and_manual_review,No,"Requires filled trades, immediate exposure, and venue rule compliance.",Monitor program availability and calculate break-even fee/reward thresholds before any manual trade.,https://help.kalshi.com/en/articles/13823850-what-is-the-kalshi-volume-incentive-program
2026-08-05,Interactive Brokers,Stock Yield Enhancement Program,investment_broker,securities_lending_income,primary_verified,52,Enroll eligible fully paid or excess-margin shares so IBKR can lend them when borrow demand exists.,Daily accrual when shares are on loan; IBKR says it pays 50% of a market-based rate.,Demand-driven rather than pool competition.,medium,public_docs,medium,manual_account_setting_ticket,No,"Requires brokerage account enrollment and accepts SIPC, voting, dividend-tax, and borrower-default tradeoffs.",Prepare a manual opt-in/risk checklist if you already hold eligible fully paid securities.,https://www.interactivebrokers.com/en/pricing/stock-yield-enhancement-program.php
2026-08-05,Polymarket,Taker Rebates,prediction_market,taker_rebate,primary_verified,49,Generate eligible weighted taker volume by category and tier while avoiding abusive or wash activity.,Daily pUSD rebates and tier updates.,High; favors traders with real flow and a reason to cross spreads.,high,public_docs,high,monitor_and_manual_review,No,Requires intentional taker trading and could incentivize uneconomic volume.,Only evaluate after true expected-value trades are found; never trade just to earn rebates.,https://docs.polymarket.com/trading/taker-rebates
2026-08-05,Polymarket US,Liquidity Incentive Program,prediction_market,liquidity_pool,primary_verified,49,Place resting orders close to the best price. Random order-book snapshots score size by tick distance and target-size eligibility.,Calculated after time periods; rewards under $1 are not paid.,High in major sports pools; medium in smaller categories.,high,public_docs,high,monitor_and_approval_ticket,No,Requires live orders and venue eligibility; reward pools do not remove inventory loss risk.,"Create a pool tracker from published schedules, then require manual approval for any quote.",https://docs.polymarket.us/incentives/liquidity
